Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made,Subject
Unknown,Summer Fayre,NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3213,https://collections.ed.ac.uk/art/record/22658?highlight=*:*,NA,NA,NA
Unknown,Coastal Village with Church,NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3289,https://collections.ed.ac.uk/art/record/22733?highlight=*:*,NA,NA,NA
Unknown,Unknown,Unknown,NA,Black ink engraving print.,NA,33.8cm H x 49.3xm W,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2421,https://collections.ed.ac.uk/art/record/21547?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Portrait. Section of a previous work on the reverse,NA,46.1cm H x 47.3cm W,Art Collection; Edinburgh College of Art,prints (visual works),No signature details,EU2432,https://collections.ed.ac.uk/art/record/21557?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract lithograph,NA,58.8cm H x 81.5cm W,Art Collection; Edinburgh College of Art,prints (visual works),No signature,EU2431,https://collections.ed.ac.uk/art/record/21556?highlight=*:*,NA,NA,NA
Unknown,A Head,Unknown,NA,Portrait of a man's head,NA,52.5cm H x 48cm W,Art Collection; Edinburgh College of Art,prints (visual works),No signature,EU2436,https://collections.ed.ac.uk/art/record/21561?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract print,NA,24cm H x 18cm W,Art Collection; Edinburgh College of Art,prints (visual works); engravings (prints),no signature,EU2438,https://collections.ed.ac.uk/art/record/21563?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract tree with leaves superimposed on top,NA,77.5cm H x 64cm W,Art Collection; Edinburgh College of Art,prints (visual works),No signature or date,EU2448,https://collections.ed.ac.uk/art/record/21573?highlight=*:*,NA,NA,NA
Unknown,Bloomers,NA,NA,"Women’s bloomers, white cotton. Gathered to waistband. Button fastening at rear of waistband. Cuffs at base of legs have embroidered edging and lace trim.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5518,https://collections.ed.ac.uk/art/record/102663?highlight=*:*,NA,NA,NA
Unknown,Child's chinese headdress,NA,NA,"Headdress. Blue and black fabrics are used, lined with a rich red cotton. The embroidery is in coloured silks using Pekinese, Satin and Straight Stitch. Couched gold kid thonging outlines the main shapes. Note the dragon’s head on the crown. China.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5533,https://collections.ed.ac.uk/art/record/102677?highlight=*:*,NA,Asia; China,NA
Unknown,Machine embroidered stole,1958,1950s; 20th century,"An unusual striped cotton fabric from Sweden is used for this stole, which is lined with dull gold poplin. The fabric is enriched with cable stitching worked on the domestic sewing machine using Lurex thread, soft black embroidery cotton and cotton à broder. Stitched points are inserted in the lining to give further interest, and these echo the pointed border design.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5551,https://collections.ed.ac.uk/art/record/102685?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Swedish apron,1958,1950s; 20th century,"An unusual striped cotton fabric from Sweden is used for this stole, which is lined with dull gold poplin. The fabric is enriched with cable stitching worked on the domestic sewing machine using Lurex thread, soft black embroidery cotton and cotton à broder. Stitched points are inserted in the lining to give further interest, and these echo the pointed border design.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5558,https://collections.ed.ac.uk/art/record/102689?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Unknown,NA,NA,Study of male head with red hair and pink jumper,graphite (mineral)/inorganic material/materials (substances); ink/coating (material)/materials (substances),34.5cm (W) x 45cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings; ink,NA,EU3314,https://collections.ed.ac.uk/art/record/50388?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,"Blonde female figure in blue trenchcoat, blue and red military cap and black jumper on green and blue background",oil paint (paint)/paint (coating),60.5cm (W) x 80.5cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3346,https://collections.ed.ac.uk/art/record/50420?highlight=*:*,NA,NA,NA
Unknown,Mexican needleweaving.birds and geometric pattern,1951,20th century; 1950s,Condition56A-79,NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5562,https://collections.ed.ac.uk/art/record/102692?highlight=*:*,NA,North America; Mexico,NA
Unknown,Woven fragments (waistcoat),NA,NA,"Fragment: of cloth: two panels sewn together, resembling part of man’s waistcoat. Woven floral pattern in pale yellow and cream, with metallic flecked thread, on mid blue background. Faded. Cloth label sewn in corner: 1930.337a. Probably Royal Scottish Museum collection.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5576,https://collections.ed.ac.uk/art/record/102702?highlight=*:*,NA,NA,NA
Unknown,Framed applique,1936,1930s; 20th century,"Framed and glazed embroidered and applique panel featuring cup and saucer and flower in grey, white, silver and black. Card label on front: Note the use of simple objects in design.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5570,https://collections.ed.ac.uk/art/record/102698?highlight=*:*,NA,NA,NA
Unknown,Cap insert,1800-1899,19th century,Insert for a cap dating from the second half of the 19th century. Machine net with darned and Chain Stitch flower motifs.,NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5587,https://collections.ed.ac.uk/art/record/102709?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Patchwork quilt,1700-1899,18th century; 19th century,"Patchwork quilt (18th/19th century). The attractive prints and cotton dress materials of the period are used for the patchwork and the repeating patterns, so small and unobtrusive, are well worth a student’s scrutiny. Examples of most constructive layouts are to be seen, such as stripe, diamond, brick, scale, spring. Etc. To see the pattern produced by the Running Stitch for quilting one must turn to the reverse where the simple diamond, scale and leaf effects were probably worked by the use of a template. Great Britain.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5636,https://collections.ed.ac.uk/art/record/102731?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Untitled,NA,NA,"Six examples of needle lace worked on net and lawn. These include specimens form Ayrshire, Limerick and Carrickmacross. Great Britain/Ireland",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5630,https://collections.ed.ac.uk/art/record/102725?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,"Painting, Sculpture and Tapestry exhibition poster",1989,20th century; 1980s,"Poster for an ECA Post Graduate Painting, Sculpture and Tapestry exhibition held at the School of Fine Art at Gloucestershire College of Art & Technology, 1989.",NA,63.2cm H x 44.9cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2725,https://collections.ed.ac.uk/art/record/21848?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Patterned print with a bird.,NA,81.3cm (H) x 68.2cm (W),Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2692,https://collections.ed.ac.uk/art/record/21816?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,1960s; 20th century,"Abstract composition consisting of black vertical, horizontal and circular lines with the space between sporadically coloured yellow, blue and purple. Painted on newsprint from 1961.",paint (coating); newsprint/paper (fibre product),39.3cm (W) x 50.2cm (H),Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU3595,https://collections.ed.ac.uk/art/record/53504?highlight=*:*,NA,NA,NA
Unknown,Unknown,1950,1950s; 20th century,Head and shoulder profile portrait of female figure in crew-neck shirt with shoulder-length hair. Figure looking to left of composition.,graphite (mineral)/inorganic material/materials (substances),28.5cm (W) x 40.2cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3598,https://collections.ed.ac.uk/art/record/53507?highlight=*:*,NA,NA,NA
Unknown,Peacocks at Beveridge Park,20 Apr 1984,20th century; 1980s,Chalk and pencil sketch of peacocks and cockrels.,paper (fibre product),28cm H x 55.5cm W,Art Collection; Edinburgh College of Art,chalk drawings; drawings (visual works); pencil drawings,No signature.,EU2506,https://collections.ed.ac.uk/art/record/21631?highlight=*:*,NA,NA,NA
Unknown,Unknown,Unknown,NA,Portrait of a man,NA,72.4cm h x 66cm W,Art Collection; Edinburgh College of Art,NA,signature difficult to make out. Patrick warner possibly,EU2734,https://collections.ed.ac.uk/art/record/21857?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,"Study of three zeba. The zebra in the foreground is lying down and looking to the right of the composition. Behind it, another zebra is standing in profile and looking to the left. To the left of the composition is the head and forequarters of a third zebra looking to the right. The zebra are presented as though they are contained within a glass box - potentially stuffed as a museum exhibit.",graphite (mineral)/inorganic material/materials (substances),71.9cm (W) x 56cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3627,https://collections.ed.ac.uk/art/record/53536?highlight=*:*,NA,NA,NA
Unknown,The Boston-Edinburgh Portfolio II,2006,2000s,Poster for the Boston and Edinburgh print portfolio exchange in 2006,Print; Inkjet/Print,NA,Art Collection; Edinburgh College of Art,prints (visual works); print 1940-2000,No signature,EU5082,https://collections.ed.ac.uk/art/record/99855?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Digital print of a film photo.,Print,NA,Art Collection; Edinburgh College of Art,prints (visual works),No signature,EU5142,https://collections.ed.ac.uk/art/record/99915?highlight=*:*,NA,NA,NA
Unknown,Composition with Two Figures in Lime Green,NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3212,https://collections.ed.ac.uk/art/record/22657?highlight=*:*,NA,NA,NA
Unknown,Standing Female Nude,NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3286,https://collections.ed.ac.uk/art/record/22730?highlight=*:*,NA,NA,NA
Unknown,Unknown,Unknown,NA,Picnic at a beach,NA,44.6cm H x 46.3 cm W,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2422,https://collections.ed.ac.uk/art/record/21548?highlight=*:*,NA,NA,NA
Unknown,Unknown,Unknown,NA,Abstract print.,NA,60cm H x 92cm W,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2429,https://collections.ed.ac.uk/art/record/21554?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract print,NA,100cm H x 73cm W,Art Collection; Edinburgh College of Art,prints (visual works),no signature or Identification marks,EU2446,https://collections.ed.ac.uk/art/record/21571?highlight=*:*,NA,NA,NA
Unknown,Swedish coffee pot cover,NA,NA,"Section of cover for a coffee-pot in traditional Hedebo embroidery. Note the typical Cut and Drawn Thread Fillings, Satin Stitch, Chain Stitch and Eyelet Holes.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5556,https://collections.ed.ac.uk/art/record/102687?highlight=*:*,NA,Europe; Denmark; Northern Europe,NA
Unknown,Unknown,Circa 1890,1890s,Study of sword hilt,graphite (mineral)/inorganic material/materials (substances),14.5cm (W) x 31cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3391,https://collections.ed.ac.uk/art/record/50465?highlight=*:*,NA,Paris; Europe; France; Western Europe,NA
Unknown,Unknown,Circa 1890,1890s,Study of sword hilt,graphite (mineral)/inorganic material/materials (substances),17.5cm (W) x 24.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3394,https://collections.ed.ac.uk/art/record/50468?highlight=*:*,NA,Paris; Europe; France; Western Europe,NA
Unknown,Unknown,Circa 1890,1890s,Figure studies of women in royal court dress,graphite (mineral)/inorganic material/materials (substances),20cm (W) x 13cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3386,https://collections.ed.ac.uk/art/record/50460?highlight=*:*,NA,Paris; Europe; France; Western Europe,NA
Unknown,Mexican needleweaving.birds and hearts,1951,1950s; 20th century,"Strip of deep cream fabric showing a decorative band of bird, heart and tree motifs in blue mercerised thread, worked in pattern darning. From Toluca, State of Mexico, 1951",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5563,https://collections.ed.ac.uk/art/record/102693?highlight=*:*,NA,North America; Mexico,NA
Unknown,Needle lace mat,NA,NA,Small needle lace mat with a variety of attractive fillings..,NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5590,https://collections.ed.ac.uk/art/record/102712?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Untitled,NA,NA,"Six examples of needle lace worked on net and lawn. These include specimens form Ayrshire, Limerick and Carrickmacross. Great Britain/Ireland",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5634,https://collections.ed.ac.uk/art/record/102729?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Untitled,Unknown,NA,Abstract screen print,NA,71cm H x 55cm W (with mount) 67cm h x 45.5cm W (without mount),Art Collection; Edinburgh College of Art,NA,"No signature, Oliver has been written on the back of mount",EU2728,https://collections.ed.ac.uk/art/record/21851?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,A collage of layered images.,NA,46.2cm H x 62.3cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2727,https://collections.ed.ac.uk/art/record/21850?highlight=*:*,NA,NA,NA
Unknown,Untitled,1982,20th century; 1980s,Poster for 1982 Royal Scottish Academy Student Competition for Painting Sculpture and Architecture.,NA,90cm (H) x 64cm (W),Art Collection; Edinburgh College of Art,prints (visual works); screen prints,NA,EU2693,https://collections.ed.ac.uk/art/record/21817?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Brass rubbing of a monk with a chalice,NA,63cm W x 73cm H framed,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2530,https://collections.ed.ac.uk/art/record/21655?highlight=*:*,NA,NA,NA
